first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Ian,SMITH ,Costa Rica,4,Defender,6-Mar-98,177,5,0,0
Cristian,ZAPATA ,Colombia,2,Defender,30-Sep-86,187,53,2,0
Antonio,RUEDIGER ,Germany,16,Defender,3-Mar-93,191,25,1,0
Enzo,PEREZ ,Argentina,15,Midfielder,22-Feb-86,178,26,1,0
LEE,Yong ,Korea Republic,2,Defender,24-Dec-86,180,31,0,0
Aleksandr,GOLOVIN ,Russia,17,Midfielder,30-May-96,178,23,3,0
Amine,HARIT ,Morocco,18,Midfielder,18-Jun-97,179,8,0,0
Johan,DJOUROU ,Switzerland,20,Defender,18-Jan-87,192,75,2,0
Mathew,RYAN ,Australia,1,Goalkeeper,8-Apr-92,184,47,0,0
MOHAMMED,ALSAHLAWI ,Saudi Arabia,10,Forward,10-Jan-87,179,42,28,0
Niklas,SUELE ,Germany,15,Defender,3-Sep-95,195,12,0,0
Vincent,KOMPANY ,Belgium,4,Defender,10-Apr-86,190,82,4,0
Youri,TIELEMANS ,Belgium,17,Midfielder,7-May-97,176,13,0,0
KOKE, ,Spain,8,Midfielder,8-Jan-92,176,43,0,0
Mahdi,TORABI ,IR Iran,2,Midfielder,10-Sep-94,185,16,4,null
Birkir,SAEVARSSON ,Iceland,2,Defender,11-Nov-84,186,82,1,0
Andreas,CORNELIUS ,Denmark,21,Forward,16-Mar-93,195,21,4,0
DANILO, ,Brazil,14,Defender,15-Jul-91,184,19,0,0
Andrija,ZIVKOVIC ,Serbia,7,Midfielder,11-Jul-96,169,11,0,0
Adem,LJAJIC ,Serbia,22,Midfielder,29-Sep-91,182,33,6,0
Dawid,KOWNACKI ,Poland,23,Forward,14-Mar-97,185,4,1,0
Michael,LANG ,Switzerland,6,Defender,8-Feb-91,185,27,2,1
Adama,MBENGUE ,Senegal,2,Defender,1-Dec-93,180,3,0,null
Bartosz,BERESZYNSKI ,Poland,18,Defender,12-Jul-92,182,11,0,0
Takashi,INUI ,Japan,14,Midfielder,2-Jun-88,169,31,6,0
SHIKABALA, ,Egypt,18,Forward,5-Mar-86,183,32,2,null
Roman,BUERKI ,Switzerland,21,Goalkeeper,14-Nov-90,188,9,0,null
BETO, ,Portugal,22,Goalkeeper,1-May-82,183,14,0,null
Olivier,GIROUD ,France,9,Forward,30-Sep-86,193,81,31,0
Martin,CAMPANA ,Uruguay,12,Goalkeeper,29-May-89,184,1,0,null
Edison,FLORES ,Peru,20,Forward,14-May-94,170,32,9,0
Eden,HAZARD ,Belgium,10,Forward,7-Jan-91,173,92,25,0
John,Obi MIKEL,Nigeria,10,Midfielder,22-Apr-87,188,85,6,0
Erick,GUTIERREZ ,Mexico,5,Midfielder,15-Jun-95,176,8,0,null
Igor,SMOLNIKOV ,Russia,23,Defender,8-Aug-88,179,28,0,1
BRUNO,FERNANDES ,Portugal,16,Midfielder,8-Sep-94,183,8,1,0
Nicolai,JORGENSEN ,Denmark,9,Forward,15-Jan-91,194,34,8,0
Gabriel,TORRES ,Panama,9,Forward,31-Oct-88,180,74,14,0
OMAR,HAWSAWI ,Saudi Arabia,5,Defender,27-Sep-85,185,41,3,0
Faycal,FAJR ,Morocco,11,Midfielder,1-Aug-88,178,26,2,0
Youssouf,SABALY ,Senegal,12,Defender,5-Mar-93,174,9,0,0
Danijel,SUBASIC ,Croatia,23,Goalkeeper,27-Oct-84,191,44,0,0
Jonas,KNUDSEN ,Denmark,5,Defender,16-Sep-92,187,4,0,0
Kevin,TRAPP ,Germany,12,Goalkeeper,8-Jul-90,189,3,0,null
ABDULMALEK,ALKHAIBRI ,Saudi Arabia,11,Midfielder,13-Mar-86,177,33,0,null
Jonas,HECTOR ,Germany,3,Defender,27-May-90,185,40,3,0
Khalid,BOUTAIB ,Morocco,13,Forward,24-Apr-87,190,22,10,0
Filip,KOSTIC ,Serbia,17,Midfielder,1-Nov-92,184,26,2,0
MOHAMED,SALAH ,Egypt,10,Forward,15-Jun-92,175,58,37,0
Kelechi,IHEANACHO ,Nigeria,14,Forward,10-Mar-96,183,20,8,0
MARCELO, ,Brazil,12,Defender,12-May-88,174,59,6,0
Marcos,URENA ,Costa Rica,21,Forward,5-Mar-90,181,64,14,0
Ilya,KUTEPOV ,Russia,3,Defender,29-Jul-93,190,12,0,0
Sadio,MANE ,Senegal,10,Forward,10-Apr-92,175,55,15,0
Jesus,CORONA ,Mexico,17,Midfielder,6-Jan-93,174,38,7,0
RUI,PATRICIO ,Portugal,1,Goalkeeper,15-Feb-88,189,73,0,0
Sergio,BUSQUETS ,Spain,5,Midfielder,16-Jul-88,189,107,2,0
Ahmed,TAGNAOUTI ,Morocco,22,Goalkeeper,5-Apr-96,186,5,0,null
