player-name,team,jersey,position,Bdate,height,caps,goals,match_red_card,,
Vladimir STOJKOVIC,Serbia,1,Goalkeeper,7/28/1983,195.0 cm,84,0,0,,"insert into player values ('Vladimir STOJKOVIC','Serbia',1,'Goalkeeper',to_date('7/28/1983','mm/dd/yyyy'),'195.0 cm',84,0,0);"
Samuel FRIDJONSSON,Iceland,3,Midfielder,2/22/1996,185.0 cm,4,1,NULL,,"insert into player values ('Samuel FRIDJONSSON','Iceland',3,'Midfielder',to_date('2/22/1996','mm/dd/yyyy'),'185.0 cm',4,1,NULL);"
Carlos SANCHEZ,Colombia,6,Midfielder,2/6/1986,182.0 cm,83,0,1,,"insert into player values ('Carlos SANCHEZ','Colombia',6,'Midfielder',to_date('2/6/1986','mm/dd/yyyy'),'182.0 cm',83,0,1);"
Miguel TRAUCO,Peru,6,Defender,8/25/1992,169.0 cm,29,0,0,,"insert into player values ('Miguel TRAUCO','Peru',6,'Defender',to_date('8/25/1992','mm/dd/yyyy'),'169.0 cm',29,0,0);"
Fidel ESCOBAR,Panama,4,Defender,1/9/1995,182.0 cm,26,1,0,,"insert into player values ('Fidel ESCOBAR','Panama',4,'Defender',to_date('1/9/1995','mm/dd/yyyy'),'182.0 cm',26,1,0);"
Naim SLITI,Tunisia,23,Forward,7/27/1992,173.0 cm,22,3,0,,"insert into player values ('Naim SLITI','Tunisia',23,'Forward',to_date('7/27/1992','mm/dd/yyyy'),'173.0 cm',22,3,0);"
Bryan OVIEDO,Costa Rica,8,Defender,2/18/1990,172.0 cm,44,1,0,,"insert into player values ('Bryan OVIEDO','Costa Rica',8,'Defender',to_date('2/18/1990','mm/dd/yyyy'),'172.0 cm',44,1,0);"
Edinson CAVANI,Uruguay,21,Forward,2/14/1987,188.0 cm,105,45,0,,"insert into player values ('Edinson CAVANI','Uruguay',21,'Forward',to_date('2/14/1987','mm/dd/yyyy'),'188.0 cm',105,45,0);"
Alfredo TALAVERA,Mexico,12,Goalkeeper,9/18/1982,188.0 cm,28,0,NULL,,"insert into player values ('Alfredo TALAVERA','Mexico',12,'Goalkeeper',to_date('9/18/1982','mm/dd/yyyy'),'188.0 cm',28,0,NULL);"
Javier HERNANDEZ,Mexico,14,Forward,6/1/1988,175.0 cm,106,50,0,,"insert into player values ('Javier HERNANDEZ','Mexico',14,'Forward',to_date('6/1/1988','mm/dd/yyyy'),'175.0 cm',106,50,0);"
Bartosz BIALKOWSKI,Poland,12,Goalkeeper,7/6/1987,194.0 cm,1,0,NULL,,"insert into player values ('Bartosz BIALKOWSKI','Poland',12,'Goalkeeper',to_date('7/6/1987','mm/dd/yyyy'),'194.0 cm',1,0,NULL);"
MOHAMED KANNO,Saudi Arabia,12,Midfielder,9/22/1994,192.0 cm,7,1,0,,"insert into player values ('MOHAMED KANNO','Saudi Arabia',12,'Midfielder',to_date('9/22/1994','mm/dd/yyyy'),'192.0 cm',7,1,0);"
Diafra SAKHO,Senegal,15,Forward,12/24/1989,184.0 cm,12,3,0,,"insert into player values ('Diafra SAKHO','Senegal',15,'Forward',to_date('12/24/1989','mm/dd/yyyy'),'184.0 cm',12,3,0);"
Ever BANEGA,Argentina,7,Midfielder,6/29/1988,175.0 cm,65,6,0,,"insert into player values ('Ever BANEGA','Argentina',7,'Midfielder',to_date('6/29/1988','mm/dd/yyyy'),'175.0 cm',65,6,0);"
Viktor CLAESSON,Sweden,17,Midfielder,1/2/1992,183.0 cm,27,3,0,,"insert into player values ('Viktor CLAESSON','Sweden',17,'Midfielder',to_date('1/2/1992','mm/dd/yyyy'),'183.0 cm',27,3,0);"
Achraf HAKIMI,Morocco,2,Defender,11/4/1998,179.0 cm,15,1,0,,"insert into player values ('Achraf HAKIMI','Morocco',2,'Defender',to_date('11/4/1998','mm/dd/yyyy'),'179.0 cm',15,1,0);"
Massimo LUONGO,Australia,8,Midfielder,9/25/1992,176.0 cm,36,5,NULL,,"insert into player values ('Massimo LUONGO','Australia',8,'Midfielder',to_date('9/25/1992','mm/dd/yyyy'),'176.0 cm',36,5,NULL);"
PAULINHO,Brazil,15,Midfielder,7/25/1988,181.0 cm,55,13,0,,"insert into player values ('PAULINHO','Brazil',15,'Midfielder',to_date('7/25/1988','mm/dd/yyyy'),'181.0 cm',55,13,0);"
